Channel1_Column3,Channel2_Column3,Channel3_Column3,Channel4_Column3,Channel5_Column3,Channel6_Column3
0.063264,0.031278,0.035872,0.071225,0.06466,0.034774
0.063536,0.031695,0.035326,0.071225,0.065096,0.035099
0.063809,0.032251,0.034779,0.071225,0.065532,0.035424
0.064354,0.033363,0.033959,0.071083,0.066259,0.036073
0.064626,0.034058,0.033413,0.070941,0.066695,0.036561
0.064899,0.034752,0.033003,0.0708,0.067131,0.036886
0.065444,0.036281,0.032183,0.070516,0.067421,0.037373
0.065716,0.037115,0.031773,0.070232,0.068148,0.038347
0.065989,0.037949,0.031363,0.070091,0.068439,0.038997
0.066397,0.039616,0.030817,0.069665,0.068584,0.039484
0.06667,0.04045,0.030407,0.069382,0.069166,0.040621
0.066942,0.041284,0.03027,0.069098,0.069311,0.041271
0.067351,0.042952,0.02986,0.068531,0.069602,0.04192
0.067624,0.043647,0.029723,0.068248,0.069892,0.043382
0.067896,0.044341,0.029587,0.067823,0.070038,0.044032
0.068305,0.045731,0.029587,0.067114,0.070183,0.044681
0.068441,0.046287,0.02945,0.066688,0.070328,0.046143
0.068714,0.046843,0.029587,0.066263,0.070328,0.046955
0.069122,0.047816,0.02986,0.065271,0.070328,0.047605
0.069259,0.048372,0.029997,0.064704,0.070328,0.049229
0.069531,0.048789,0.03027,0.064137,0.070328,0.049878
0.069804,0.049344,0.03068,0.063711,0.070328,0.05069
0.070076,0.050178,0.031363,0.062435,0.070038,0.052314
0.070212,0.050595,0.03191,0.061868,0.070038,0.053127
0.070349,0.051012,0.032456,0.061301,0.069892,0.053776
0.070621,0.051846,0.033686,0.060026,0.069602,0.0554
0.070757,0.052263,0.034369,0.059317,0.069456,0.056212
0.070757,0.05268,0.035053,0.058608,0.069311,0.056862
0.070757,0.053514,0.036692,0.057332,0.06902,0.057674
0.070757,0.054069,0.037512,0.056481,0.068584,0.059136
0.070757,0.054486,0.038469,0.055773,0.068439,0.059785
0.070485,0.055459,0.040245,0.054355,0.068148,0.060435
0.070349,0.056015,0.041065,0.053646,0.067567,0.061734
0.070076,0.056571,0.042021,0.052796,0.067131,0.062384
0.069395,0.057822,0.043798,0.051236,0.06684,0.063034
0.069122,0.058378,0.044618,0.050669,0.065968,0.064333
0.068714,0.058933,0.045438,0.049819,0.065532,0.064982
0.067896,0.060184,0.047077,0.048259,0.065096,0.065632
0.067351,0.060879,0.047761,0.04755,0.064079,0.066769
0.066942,0.061435,0.04858,0.046842,0.063497,0.067419
0.065852,0.062686,0.04981,0.045282,0.063061,0.067906
0.065171,0.063241,0.050493,0.044573,0.061899,0.069043
0.064626,0.063797,0.05104,0.043864,0.061317,0.06953
0.063264,0.06477,0.051996,0.042447,0.060736,0.070017
0.062718,0.065326,0.052543,0.041738,0.059428,0.070992
0.062037,0.065743,0.05309,0.041171,0.058847,0.071479
0.061356,0.06616,0.0535,0.040462,0.058265,0.071966
0.059857,0.066855,0.054456,0.039186,0.056957,0.072778
0.059176,0.067272,0.055003,0.038619,0.056376,0.073103
0.058495,0.067689,0.055413,0.038052,0.055649,0.07359
0.057132,0.068244,0.056369,0.036918,0.054341,0.074077
0.056451,0.068522,0.056916,0.036351,0.053614,0.074402
0.05577,0.0688,0.057326,0.035926,0.053033,0.074565
0.054407,0.069217,0.058282,0.034933,0.052306,0.074889
0.053726,0.069495,0.058829,0.034366,0.050998,0.075214
0.053044,0.069634,0.059239,0.034083,0.050272,0.075377
0.051682,0.070051,0.060195,0.033232,0.04969,0.075539
0.051001,0.07019,0.060605,0.032949,0.048382,0.075864
0.050319,0.070468,0.061015,0.032665,0.047655,0.075864
0.048957,0.070746,0.061835,0.032098,0.046929,0.076026
0.048276,0.070885,0.062245,0.031815,0.045621,0.076026
0.047594,0.071024,0.062655,0.031673,0.045039,0.076026
0.046096,0.071163,0.063475,0.031389,0.044313,0.076026
0.045414,0.071163,0.063885,0.031248,0.04315,0.075864
0.044733,0.071302,0.064295,0.031106,0.042423,0.075702
0.043234,0.071302,0.065114,0.031106,0.041842,0.075539
0.042417,0.071302,0.065524,0.030964,0.040534,0.075214
0.041735,0.071163,0.065798,0.030964,0.039953,0.075052
0.041054,0.071163,0.066208,0.030964,0.039371,0.074727
0.039555,0.071024,0.066891,0.031248,0.038208,0.07424
0.038874,0.070885,0.067301,0.031248,0.037627,0.073753
0.038057,0.070746,0.067574,0.031389,0.037046,0.07359
0.036558,0.070329,0.068121,0.031815,0.036028,0.072941
0.035877,0.07019,0.068531,0.031956,0.035592,0.072616
0.035195,0.069912,0.068667,0.03224,0.035011,0.072129
0.033833,0.069217,0.069214,0.032807,0.03472,0.071804
0.033151,0.068939,0.069487,0.033232,0.033848,0.070992
0.032743,0.068522,0.06976,0.033516,0.033558,0.070504
0.031653,0.067689,0.07017,0.034366,0.033267,0.070017
0.031108,0.066994,0.070444,0.034792,0.032831,0.069043
0.030699,0.066577,0.07058,0.035359,0.03254,0.068393
0.030018,0.065326,0.070853,0.036351,0.032395,0.067906
0.029745,0.06477,0.07099,0.036918,0.032104,0.066607
0.029609,0.064214,0.071127,0.037485,0.032104,0.065957
0.029473,0.062825,0.071263,0.038761,0.031959,0.065307
0.029473,0.062269,0.071263,0.03947,0.031959,0.063846
0.029609,0.061574,0.071127,0.040179,0.031959,0.063034
0.029881,0.060184,0.07099,0.041454,0.031959,0.062384
0.030018,0.059489,0.070853,0.042163,0.032104,0.06076
0.03029,0.058794,0.070717,0.042872,0.03225,0.059948
0.030699,0.057405,0.070307,0.04429,0.032395,0.059298
0.030971,0.056571,0.070034,0.044999,0.032831,0.057674
0.03138,0.055876,0.06976,0.045849,0.033122,0.056862
0.031789,0.055181,0.069487,0.046558,0.033412,0.05605
0.03247,0.053653,0.068667,0.048117,0.033994,0.054426
0.032879,0.052958,0.068121,0.048826,0.03443,0.053776
0.033288,0.052124,0.067711,0.049677,0.034866,0.052964
0.034105,0.050734,0.066754,0.051236,0.035738,0.051502
0.03465,0.0499,0.066208,0.051945,0.036174,0.05069
0.035195,0.049205,0.065524,0.052796,0.03661,0.049878
0.036285,0.047677,0.064295,0.054213,0.037191,0.049229
0.03683,0.046982,0.063611,0.055064,0.038354,0.047929
0.037375,0.046287,0.062928,0.055773,0.038935,0.047117
0.038465,0.044758,0.061562,0.05719,0.039517,0.046468
0.039147,0.043925,0.060742,0.057899,0.040825,0.045006
0.039692,0.04323,0.060059,0.058608,0.041406,0.044519
0.040918,0.041701,0.058555,0.060026,0.042133,0.043707
0.041599,0.041006,0.057872,0.060593,0.043441,0.042407
0.042144,0.040172,0.057052,0.061301,0.044022,0.04192
0.04337,0.038505,0.055686,0.062577,0.044749,0.041271
0.044052,0.03781,0.054866,0.063144,0.046057,0.039971
0.044733,0.037115,0.054183,0.063711,0.046783,0.039484
0.045959,0.035725,0.052816,0.064845,0.047365,0.038997
0.046641,0.03503,0.052133,0.065271,0.048818,0.03786
0.047322,0.034613,0.05145,0.065838,0.049545,0.037373
0.048139,0.034197,0.050767,0.066263,0.050126,0.036886
0.049502,0.033363,0.049537,0.067255,0.051434,0.036073
0.050183,0.032946,0.048854,0.067539,0.052161,0.035749
0.050864,0.032529,0.04817,0.067964,0.052888,0.035424
0.052227,0.032112,0.046941,0.068673,0.054196,0.034774
0.053044,0.031973,0.046394,0.068957,0.054922,0.034612
0.053726,0.031834,0.045847,0.06924,0.055504,0.034449
0.055088,0.031417,0.044618,0.069807,0.056812,0.034125
0.05577,0.031278,0.044071,0.070091,0.057393,0.033962
0.056451,0.031139,0.043388,0.070232,0.05812,0.0338
0.057677,0.030861,0.042295,0.070658,0.058701,0.0338
0.058358,0.030861,0.041611,0.0708,0.059864,0.0338
0.058903,0.030722,0.041065,0.070941,0.060445,0.0338
0.059993,0.030722,0.039972,0.071225,0.061027,0.0338
0.060538,0.030861,0.039425,0.071225,0.062044,0.034125
0.061083,0.031,0.038742,0.071367,0.062625,0.034125
0.062037,0.031417,0.037649,0.071367,0.063207,0.034449
0.062446,0.031695,0.036966,0.071367,0.064224,0.034774
0.062855,0.032112,0.036419,0.071367,0.06466,0.035099
0.063672,0.032946,0.035189,0.071225,0.065241,0.035261
0.064081,0.033363,0.034643,0.071083,0.065968,0.035911
0.06449,0.034058,0.034096,0.070941,0.066549,0.036236
0.065171,0.035169,0.033003,0.0708,0.06684,0.036723
0.065444,0.035725,0.032456,0.070516,0.067567,0.037373
0.065716,0.03642,0.031773,0.070374,0.067857,0.03786
0.065989,0.036976,0.031226,0.070232,0.068293,0.038347
0.066534,0.038227,0.03027,0.069807,0.06873,0.039484
0.066806,0.038922,0.02986,0.069524,0.06902,0.039971
0.067079,0.039477,0.02945,0.06924,0.069166,0.040621
0.067487,0.040867,0.028767,0.068673,0.069602,0.041758
0.06776,0.041423,0.028767,0.06839,0.069747,0.042407
0.067896,0.042118,0.028494,0.068106,0.069892,0.043057
0.068305,0.043508,0.028494,0.067397,0.070038,0.043707
0.068441,0.044064,0.02863,0.066972,0.070183,0.045168
0.068577,0.044758,0.02863,0.066547,0.070328,0.045818
0.068986,0.046009,0.029177,0.065696,0.070328,0.046468
0.069122,0.046565,0.02945,0.065271,0.070328,0.048092
0.069259,0.047121,0.029723,0.064704,0.070328,0.048741
0.069531,0.048233,0.030543,0.063711,0.070328,0.049554
0.069531,0.048789,0.03109,0.063286,0.070183,0.051015
0.069667,0.049344,0.031636,0.062719,0.070038,0.051665
0.069804,0.050317,0.032866,0.061443,0.070038,0.052477
0.069804,0.050873,0.033549,0.060876,0.069747,0.053939
0.069804,0.05129,0.034369,0.060167,0.069602,0.054751
0.069804,0.052263,0.036009,0.058891,0.069456,0.0554
0.069667,0.052819,0.036829,0.058183,0.06902,0.057024
0.069667,0.053236,0.037785,0.057616,0.068875,0.057674
0.069395,0.054347,0.039425,0.056198,0.068584,0.058324
0.069395,0.054764,0.040382,0.055347,0.068003,0.059785
0.069259,0.05532,0.041202,0.054639,0.067712,0.060435
0.069122,0.056015,0.042021,0.05393,0.067421,0.061247
0.06885,0.057127,0.043661,0.052512,0.066695,0.062546
0.068577,0.057683,0.044344,0.051661,0.066259,0.063034
0.068441,0.058239,0.045028,0.050953,0.065823,0.063683
0.067896,0.059489,0.046394,0.049535,0.064951,0.065145
0.06776,0.059906,0.046941,0.048684,0.064515,0.065632
0.067351,0.060601,0.047487,0.047976,0.063933,0.066282
0.06667,0.061852,0.04858,0.046558,0.063497,0.066931
0.066261,0.062408,0.04899,0.045849,0.062335,0.068068
0.065989,0.062964,0.049537,0.04514,0.061899,0.068718
0.065035,0.063936,0.050357,0.043864,0.061317,0.069205
0.064626,0.064492,0.050767,0.043156,0.060155,0.070342
0.064081,0.065048,0.051313,0.042589,0.059573,0.070829
0.062991,0.066021,0.05227,0.041313,0.058992,0.071316
0.062446,0.066438,0.052816,0.040746,0.057829,0.072291
0.061765,0.066855,0.053226,0.040037,0.057248,0.072778
0.060538,0.067689,0.054183,0.038903,0.056521,0.073265
0.059993,0.067967,0.054729,0.038336,0.055358,0.074077
0.059176,0.068383,0.055276,0.03791,0.054632,0.074402
0.057813,0.068939,0.056369,0.036776,0.05405,0.074565
0.057132,0.069356,0.056916,0.036351,0.052742,0.075214
0.056315,0.069634,0.057462,0.035926,0.052016,0.075377
0.055497,0.069773,0.058009,0.035359,0.051434,0.075539
0.053998,0.07019,0.059102,0.034508,0.050126,0.075864
0.053181,0.070329,0.059512,0.034083,0.049545,0.075864
0.052227,0.070468,0.060059,0.033657,0.048818,0.076026
0.050592,0.070746,0.061152,0.032949,0.04751,0.076026
0.049638,0.070885,0.061562,0.032665,0.046783,0.076026
0.048821,0.070885,0.062108,0.032382,0.046202,0.076026
0.047049,0.071024,0.063065,0.031956,0.045475,0.076026
0.046232,0.071024,0.063611,0.031815,0.044313,0.075864
0.045414,0.071024,0.064021,0.031531,0.043731,0.075864
0.043643,0.071163,0.064841,0.031248,0.043005,0.075702
0.042825,0.071163,0.065251,0.031106,0.041842,0.075377
0.042008,0.071024,0.065661,0.031106,0.041261,0.075214
0.040509,0.071163,0.066481,0.030964,0.040534,0.075052
0.039828,0.071024,0.066891,0.030964,0.039517,0.074565
0.03901,0.071024,0.067301,0.030964,0.038935,0.07424
0.037648,0.070885,0.067984,0.031106,0.038354,0.074077
0.036967,0.070746,0.068257,0.031248,0.037336,0.073428
0.036422,0.070607,0.068531,0.031389,0.036755,0.073103
0.035195,0.07019,0.069077,0.031673,0.036319,0.072778
0.034786,0.070051,0.06935,0.031956,0.035447,0.071966
0.034378,0.069773,0.069624,0.03224,0.035011,0.071479
0.03356,0.069217,0.070034,0.032807,0.03472,0.071154
0.033151,0.068939,0.07017,0.03309,0.033994,0.07018
0.032879,0.068522,0.070307,0.033516,0.033703,0.069692
0.032606,0.068105,0.070444,0.033941,0.033412,0.069205
0.032198,0.067272,0.070853,0.034933,0.032976,0.068068
0.031925,0.066716,0.07099,0.035359,0.032831,0.067419
0.031789,0.066299,0.071127,0.036067,0.032686,0.066931
0.031516,0.065048,0.071263,0.037202,0.032395,0.06547
0.03138,0.064353,0.0714,0.03791,0.032395,0.06482
0.031244,0.063797,0.0714,0.038477,0.03225,0.06417
0.031108,0.062269,0.0714,0.039895,0.03225,0.063358
0.031108,0.061574,0.0714,0.040604,0.03225,0.061897
0.030971,0.060879,0.071263,0.041313,0.032395,0.061247
0.031108,0.059211,0.07099,0.042872,0.032395,0.060435
0.030971,0.058378,0.070717,0.043723,0.032686,0.058811
0.031108,0.057544,0.070444,0.044432,0.032831,0.057999
0.031244,0.055876,0.06976,0.045991,0.032976,0.057349
0.031516,0.054903,0.06935,0.0467,0.033412,0.055725
0.031653,0.054069,0.06894,0.04755,0.033703,0.054913
0.032334,0.052263,0.068121,0.04911,0.034139,0.054101
0.032743,0.051429,0.067574,0.049819,0.03472,0.052639
0.033151,0.050595,0.067027,0.050669,0.035156,0.051827
0.034241,0.049066,0.065934,0.052229,0.035592,0.051015
0.034786,0.048094,0.065251,0.053079,0.036464,0.049554
0.035468,0.047399,0.064704,0.053788,0.037046,0.048904
0.036694,0.046009,0.063338,0.055347,0.037482,0.048092
0.037375,0.045314,0.062655,0.056056,0.038644,0.04663
0.038057,0.044619,0.061972,0.056765,0.039226,0.04598
0.038738,0.043925,0.061288,0.057474,0.039807,0.045331
0.039964,0.042674,0.059785,0.059033,0.041115,0.044032
0.040645,0.041979,0.058965,0.059742,0.041842,0.043382
0.041327,0.041284,0.058282,0.060309,0.042423,0.042732
0.042689,0.039894,0.056642,0.061585,0.04315,0.042083
0.04337,0.0392,0.055959,0.062294,0.044458,0.041108
0.044052,0.038505,0.055139,0.062861,0.045185,0.040459
0.045551,0.037254,0.053636,0.063995,0.045766,0.039971
0.046232,0.036698,0.052953,0.064562,0.047219,0.038834
0.046913,0.036142,0.05227,0.065129,0.047946,0.038347
0.048412,0.035308,0.050903,0.066121,0.048673,0.03786
0.049093,0.034752,0.050357,0.066688,0.049981,0.037048
0.049774,0.034475,0.04981,0.067114,0.050708,0.036723
0.051137,0.03378,0.04858,0.067964,0.051434,0.036398
0.051818,0.033641,0.04817,0.068248,0.052888,0.035749
0.052499,0.033224,0.047624,0.068673,0.053614,0.035424
0.053862,0.032807,0.046531,0.06924,0.054196,0.035261
0.054407,0.032529,0.045984,0.069524,0.055649,0.034774
0.055088,0.03239,0.045574,0.069807,0.056376,0.034612
0.056315,0.031973,0.044481,0.070232,0.056957,0.034449
0.05686,0.031695,0.043934,0.070516,0.058265,0.034287
0.057405,0.031556,0.043388,0.070658,0.058992,0.034287
0.05795,0.031417,0.042841,0.0708,0.059573,0.034125
0.05904,0.031139,0.041611,0.070941,0.060736,0.034287
0.059448,0.031139,0.041065,0.071083,0.061317,0.034287
0.059993,0.031139,0.040382,0.071225,0.061753,0.034449
0.060811,0.031278,0.039152,0.071225,0.062335,0.034449
0.06122,0.031417,0.038469,0.071225,0.063497,0.034774
0.061628,0.031556,0.037785,0.071225,0.064079,0.034774
0.062446,0.032251,0.036556,0.071225,0.064515,0.035099
0.062855,0.032807,0.035872,0.071083,0.065387,0.035586
0.063264,0.033224,0.035326,0.070941,0.065823,0.035749
0.063945,0.034336,0.034233,0.070658,0.066259,0.036073
0.06449,0.03503,0.033686,0.070516,0.067131,0.036723
0.064762,0.035586,0.03314,0.070374,0.067421,0.037048
0.06558,0.036976,0.032183,0.070091,0.067857,0.037373
0.065852,0.037671,0.031773,0.069807,0.068439,0.038185
0.066261,0.038366,0.031226,0.069665,0.06873,0.038672
0.066942,0.039894,0.030407,0.06924,0.06902,0.039159
